Active,Changes Today,Changes Today_2,Confirmed,Critical,Deceased,Name.1,Per Million_1,Per Million,Rank,Population,Per Million_3,Tests,Recovered
"1,128",Unknown,Unknown,9214,Unknown,232,Haiti,20,804,11,11457113,686,"34,734",7854
"1,598",Unknown,Unknown,7413,1,163,The Bahamas,0,0,13,394724,0,"41,734",5652
11,Unknown,Unknown,259,Unknown,7,Barbados,0,0,17,287515,0,"44,484",241
"15,864",Unknown,Unknown,154783,146,"2,957",Panama,681,35653,4,4341339,31318,"832,079",135962
158,Unknown,Unknown,220,Unknown,2,Saint Lucia,0,0,18,183959,0,"14,906",60
"161,095","↑ 9,187 (0.89%)",↑ 303 (0.3%),1041875,"2,852","101,676",Mexico,785,8048,2,129465634,6018,"2,701,734",779104
"2,184",Unknown,↑ 6 (0.56%),37562,38,"1,081",El Salvador,166,5780,9,6499151,5277,"529,430",34297
"2,225",↑ 73 (1.43%),↑ 4 (3.57%),5183,7,116,Belize,0,0,16,400445,0,"28,575",2842
"23,548",Unknown,Unknown,138410,185,"2,310",Dominican Republic,212,12709,5,10890724,10335,"682,193",112552
380,Unknown,Unknown,7846,Unknown,132,Cuba,12,693,12,11323866,648,"1,032,492",7334
"4,541",Unknown,Unknown,10284,11,238,Jamaica,80,3467,10,2966283,1856,"109,193",5505
"4,877,122","↑ 4,073 (0.03%)",↑ 28 (0.01%),12593161,"23,113","262,729",United States,792,37958,1,331769810,22465,"180,684,912",7453310
"48,438",Unknown,Unknown,129418,217,"1,608",Costa Rica,315,25314,6,5112443,15525,"363,834",79372
"5,256,076","↑ 13,338 (0.09%)",↑ 341 (0.09%),14705022,"27,141","391,962",Total,665,24946,0,589480882,15364,"198,810,957",9056982
"53,170",Unknown,Unknown,333795,431,"11,501",Canada,304,8814,3,37872563,7106,"10,881,653",269124
"55,370",Unknown,Unknown,104435,133,"2,857",Honduras,287,10479,8,9966223,4636,"255,418",46208
7,Unknown,Unknown,139,Unknown,4,Antigua and Barbuda,0,0,19,98249,0,"4,386",128
"7,140",Unknown,Unknown,118629,5,"4,076",Guatemala,226,6574,7,18044830,5953,"508,814",107413
725,Unknown,Unknown,6450,3,115,Trinidad and Tobago,82,4603,14,1401284,4003,"36,034",5610
Unknown,↑ 5 (6.94%),Unknown,77,Unknown,Unknown,Dominica,Unknown,0,21,72057,0,"5,655",63
Unknown,Unknown,Unknown,5725,Unknown,159,Nicaragua,24,860,15,6655514,635,Unknown,4225
Unknown,Unknown,Unknown,41,Unknown,Unknown,Grenada,Unknown,0,22,112729,0,"6,252",30
Unknown,Unknown,Unknown,20,Unknown,Unknown,Saint Kitts and Nevis,Unknown,0,23,53348,0,"3,631",19
Unknown,Unknown,Unknown,84,Unknown,Unknown,Saint Vincent and the Grenadines,Unknown,0,20,111080,0,"8,815",78
