Active,Changes Today_2,Deceased,Name.1,Per Million,Per Million_1,Per Million_3,Rank,Recovered,Population,Confirmed,Changes Today,Critical,Tests
15733,↑ 3 (0.03%),8907,Bolivia,12269,759,10169,7,119338,11735453,143978,↑ 56 (0.04%),71,353340
9450,↑ 37 (0.25%),15106,Chile,28261,788,26981,5,517524,19180879,542080,"↑ 1,440 (0.27%)",704,5095476
764889,↑ 40 (0.01%),317152,Total,24784,734,22278,0,9620950,431853380,10702993,"↑ 1,496 (0.01%)",17337,45774203
137872,Unknown,37002,Argentina,30211,816,26356,2,1195492,45359143,1370366,Unknown,4245,3677688
469699,Unknown,169197,Brazil,28483,794,25486,1,5432505,213155868,6071401,Unknown,8318,21900000
62198,Unknown,35287,Colombia,24433,691,22525,3,1150932,51096204,1248417,Unknown,2376,6044047
8433,Unknown,13201,Ecuador,10460,744,9241,6,164009,17747925,185643,Unknown,369,620970
971,Unknown,143,Guyana,0,0,0,11,4019,788054,5133,Unknown,7,27566
20328,Unknown,1657,Paraguay,10671,231,7603,9,54491,7166939,76476,Unknown,127,423142
34636,Unknown,35595,Peru,28646,1074,26528,4,879439,33151886,949670,Unknown,988,4935037
12,Unknown,116,Suriname,0,0,0,10,5168,588703,5296,Unknown,4,21163
949,Unknown,71,Uruguay,1351,20,1058,12,3679,3478499,4699,Unknown,12,399366
4609,Unknown,871,Venezuela,3515,31,3322,8,94355,28403828,99835,Unknown,117,2276409
