Recovered,Rank,Population,Deceased,Critical,Confirmed,Changes Today,Active,Changes Today_2,Name.1,Per Million,Per Million_1,Tests,Per Million_3
1,6,59348,Unknown,Unknown,4,Unknown,Unknown,Unknown,Marshall Islands,0,Unknown,Unknown,0
1,7,11159,Unknown,Unknown,2,Unknown,Unknown,Unknown,Wallis and Futuna,0,Unknown,"1,149",0
"1,953",2,5002100,25,Unknown,2030,↑ 2 (0.1%),52,Unknown,New Zealand,406,5,"1,234,175",390
"25,528",1,25616139,907,Unknown,27835,↑ 14 (0.05%),"1,400",Unknown,Australia,1087,35,"9,746,722",997
"28,108",0,41803124,940,Unknown,30535,↑ 24 (0.08%),"1,485",Unknown,Total,730,22,"11,031,807",672
33,4,899009,2,Unknown,35,Unknown,,Unknown,Fiji,0,2,"15,235",0
5,5,693410,Unknown,Unknown,16,Unknown,Unknown,Unknown,Solomon Islands,0,Unknown,"4,500",0
588,3,9013096,7,Unknown,612,↑ 8 (1.32%),17,Unknown,Papua New Guinea,68,1,"30,027",65
Unknown,9,198935,Unknown,Unknown,1,Unknown,Unknown,Unknown,Samoa,0,Unknown,Unknown,Unknown
Unknown,8,309929,Unknown,Unknown,1,Unknown,Unknown,Unknown,Vanuatu,0,Unknown,Unknown,Unknown
